,Theta,alpha,amp_p,bar_p,folder,r
0,0.05011872336272722,0.15707963267948966,0.0005929477686361284,2.9653192846769436e-05,case000,0.1
1,0.05011872336272722,0.3141592653589793,0.0006557646743874509,3.746698293187604e-05,case001,0.1
2,0.05011872336272722,0.471238898038469,0.0007039775922788706,4.069532280499577e-05,case002,0.1
3,0.05011872336272722,0.6283185307179586,0.0007362402554185811,4.3478336803377715e-05,case003,0.1
4,0.05011872336272722,0.7853981633974483,0.0007591291863939298,4.5553949872204874e-05,case004,0.1
5,0.05011872336272722,0.9424777960769379,0.0007779882468216982,4.6990143176367716e-05,case005,0.1
6,0.05011872336272722,1.0995574287564276,0.0007889980625790516,4.831144094765541e-05,case006,0.1
7,0.05011872336272722,1.2566370614359172,0.0007989843022969084,4.890655410551184e-05,case007,0.1
8,0.05011872336272722,1.413716694115407,0.0008102338246387358,4.978426935905888e-05,case008,0.1
9,0.05011872336272722,1.5707963267948966,0.0008179072192033393,5.1121608094443215e-05,case009,0.1
10,0.05011872336272722,0.15707963267948966,0.0006098638541498611,3.0269634571695152e-05,case010,0.2
11,0.05011872336272722,0.3141592653589793,0.0006756396702966644,3.837114844827051e-05,case011,0.2
12,0.05011872336272722,0.471238898038469,0.0007212096328574278,4.1519925126347e-05,case012,0.2
13,0.05011872336272722,0.6283185307179586,0.0007500472783921787,4.4133217710760856e-05,case013,0.2
14,0.05011872336272722,0.7853981633974483,0.0007696927554657633,4.607352257119821e-05,case014,0.2
15,0.05011872336272722,0.9424777960769379,0.0007851920077842181,4.7308476450578245e-05,case015,0.2
16,0.05011872336272722,1.0995574287564276,0.0007998151425393133,4.870314009384676e-05,case016,0.2
17,0.05011872336272722,1.2566370614359172,0.0008077234634538468,4.907098770450258e-05,case017,0.2
18,0.05011872336272722,1.413716694115407,0.0008173799328167585,4.9953663176511374e-05,case018,0.2
19,0.05011872336272722,1.5707963267948966,0.000824528292611105,5.129314539128829e-05,case019,0.2
20,0.05011872336272722,0.15707963267948966,0.000614459748329176,3.133690264656452e-05,case020,0.30000000000000004
21,0.05011872336272722,0.3141592653589793,0.0006804781879547097,3.985195777552464e-05,case021,0.30000000000000004
22,0.05011872336272722,0.471238898038469,0.0007246308995278692,4.2931794726772454e-05,case022,0.30000000000000004
23,0.05011872336272722,0.6283185307179586,0.00075273566665551,4.546261257822332e-05,case023,0.30000000000000004
24,0.05011872336272722,0.7853981633974483,0.0007766008363998345,4.739368973364148e-05,case024,0.30000000000000004
25,0.05011872336272722,0.9424777960769379,0.0007908710927061765,4.8496390892541715e-05,case025,0.30000000000000004
26,0.05011872336272722,1.0995574287564276,0.0008045720126655458,4.9752467354141634e-05,case026,0.30000000000000004
27,0.05011872336272722,1.2566370614359172,0.0008117051697067017,4.9985348280686724e-05,case027,0.30000000000000004
28,0.05011872336272722,1.413716694115407,0.0008208098254508532,5.075378331900024e-05,case028,0.30000000000000004
29,0.05011872336272722,1.5707963267948966,0.0008283911219398166,5.204676115484899e-05,case029,0.30000000000000004
30,0.05011872336272722,0.15707963267948966,0.0005895469221002893,3.2680335188594015e-05,case030,0.4
31,0.05011872336272722,0.3141592653589793,0.0006520283624304169,4.150462728920533e-05,case031,0.4
32,0.05011872336272722,0.471238898038469,0.0006966717818080787,4.476884492086283e-05,case032,0.4
33,0.05011872336272722,0.6283185307179586,0.000731622278590598,4.7348044050192884e-05,case033,0.4
34,0.05011872336272722,0.7853981633974483,0.0007505179525528067,4.9228569943958175e-05,case034,0.4
35,0.05011872336272722,0.9424777960769379,0.00076598209326185,5.041208612933114e-05,case035,0.4
36,0.05011872336272722,1.0995574287564276,0.0007814109065200016,5.158115896605067e-05,case036,0.4
37,0.05011872336272722,1.2566370614359172,0.0007961432224323596,5.2187255887140314e-05,case037,0.4
38,0.05011872336272722,1.413716694115407,0.0008000745858019765,5.280930023474789e-05,case038,0.4
39,0.05011872336272722,1.5707963267948966,0.000807600462506107,5.392426657193004e-05,case039,0.4
